# C = 20
#
# t[1] = 1
# t[2] = 3
#
0.2
n	t1	t2	sum
0	0.00000	0.00000	0.00000
1	1.00000	0.00000	1.00000
2	2.00000	0.00000	2.00000
3	2.00000	1.00000	3.00000
4	2.00000	2.00000	4.00000
5	2.50000	2.50000	5.00000
6	2.66667	3.33333	6.00000
7	2.62500	4.37500	7.00000
8	2.90909	5.09091	8.00000
9	3.09375	5.90625	9.00000
10	3.07692	6.92308	10.00000
11	3.25462	7.74538	11.00000
12	3.42509	8.57491	12.00000
13	3.43294	9.56706	13.00000
14	3.55372	10.44628	14.00000
15	3.70377	11.29623	15.00000
16	3.72913	12.27087	16.00000
17	3.81768	13.18232	17.00000
18	3.94810	14.05190	18.00000
19	3.98478	15.01522	19.00000
20	4.05427	15.94573	20.00000

0.3
n	t1	t2	sum
0	0.00000	0.00000	0.00000
1	1.00000	0.00000	1.00000
2	2.00000	0.00000	2.00000
3	2.45455	0.54545	3.00000
4	2.58824	1.41176	4.00000
5	2.93103	2.06897	5.00000
6	3.25572	2.74428	6.00000
7	3.39758	3.60242	7.00000
8	3.58895	4.41105	8.00000
9	3.82188	5.17812	9.00000
10	3.96187	6.03813	10.00000
11	4.10077	6.89923	11.00000
12	4.27778	7.72222	12.00000
13	4.40807	8.59193	13.00000
14	4.52314	9.47686	14.00000
15	4.66510	10.33490	15.00000
16	4.78392	11.21608	16.00000
17	4.88546	12.11454	17.00000
18	5.00438	12.99562	18.00000
19	5.11230	13.88770	19.00000
20	5.20473	14.79527	20.00000

0.4
n	t1	t2	sum
0	0.00000	0.00000	0.00000
1	1.00000	0.00000	1.00000
2	2.00000	0.00000	2.00000
3	2.66667	0.33333	3.00000
4	3.00000	1.00000	4.00000
5	3.33333	1.66667	5.00000
6	3.69231	2.30769	6.00000
7	3.95652	3.04348	7.00000
8	4.18182	3.81818	8.00000
9	4.42458	4.57542	9.00000
10	4.63731	5.36269	10.00000
11	4.81952	6.18048	11.00000
12	5.00657	6.99343	12.00000
13	5.18325	7.81675	13.00000
14	5.33965	8.66035	14.00000
15	5.49492	9.50508	15.00000
16	5.64611	10.35389	16.00000
17	5.78417	11.21583	17.00000
18	5.91885	12.08115	18.00000
19	6.05148	12.94852	19.00000
20	6.17548	13.82452	20.00000

0.5
n	t1	t2	sum
0	0.00000	0.00000	0.00000
1	1.00000	0.00000	1.00000
2	2.00000	0.00000	2.00000
3	2.77778	0.22222	3.00000
4	3.27273	0.72727	4.00000
5	3.66667	1.33333	5.00000
6	4.05405	1.94595	6.00000
7	4.38983	2.61017	7.00000
8	4.67327	3.32673	8.00000
9	4.94344	4.05656	9.00000
10	5.19729	4.80271	10.00000
11	5.42487	5.57513	11.00000
12	5.63967	6.36033	12.00000
13	5.84591	7.15409	13.00000
14	6.03771	7.96229	14.00000
15	6.21933	8.78067	15.00000
16	6.39483	9.60517	16.00000
17	6.56152	10.43848	17.00000
18	6.72045	11.27955	18.00000
19	6.87446	12.12554	19.00000
20	7.02253	12.97747	20.00000

0.6
n	t1	t2	sum
0	0.00000	0.00000	0.00000
1	1.00000	0.00000	1.00000
2	2.00000	0.00000	2.00000
3	2.84211	0.15789	3.00000
4	3.45455	0.54545	4.00000
5	3.92857	1.07143	5.00000
6	4.35735	1.64265	6.00000
7	4.74414	2.25586	7.00000
8	5.08189	2.91811	8.00000
9	5.39019	3.60981	9.00000
10	5.67892	4.32108	10.00000
11	5.94501	5.05499	11.00000
12	6.19255	5.80745	12.00000
13	6.42727	6.57273	13.00000
14	6.64897	7.35103	14.00000
15	6.85847	8.14153	15.00000
16	7.05867	8.94133	16.00000
17	7.25018	9.74982	17.00000
18	7.43319	10.56681	18.00000
19	7.60914	11.39086	19.00000
20	7.77873	12.22127	20.00000

0.7
n	t1	t2	sum
0	0.00000	0.00000	0.00000
1	1.00000	0.00000	1.00000
2	2.00000	0.00000	2.00000
3	2.88235	0.11765	3.00000
4	3.57895	0.42105	4.00000
5	4.13043	0.86957	5.00000
6	4.60941	1.39059	6.00000
7	5.04124	1.95876	7.00000
8	5.42657	2.57343	8.00000
9	5.77553	3.22447	9.00000
10	6.09898	3.90102	10.00000
11	6.39954	4.60046	11.00000
12	6.67949	5.32051	12.00000
13	6.94311	6.05689	13.00000
14	7.19255	6.80745	14.00000
15	7.42885	7.57115	15.00000
16	7.65383	8.34617	16.00000
17	7.86895	9.13105	17.00000
18	8.07488	9.92512	18.00000
19	8.27255	10.72745	19.00000
20	8.46287	11.53713	20.00000

0.8
n	t1	t2	sum
0	0.00000	0.00000	0.00000
1	1.00000	0.00000	1.00000
2	2.00000	0.00000	2.00000
3	2.90909	0.09091	3.00000
4	3.66667	0.33333	4.00000
5	4.28571	0.71429	5.00000
6	4.81720	1.18280	6.00000
7	5.29268	1.70732	7.00000
8	5.72093	2.27907	8.00000
9	6.10952	2.89048	9.00000
10	6.46777	3.53223	10.00000
11	6.80095	4.19905	11.00000
12	7.11197	4.88803	12.00000
13	7.40424	5.59576	13.00000
14	7.68053	6.31947	14.00000
15	7.94252	7.05748	15.00000
16	8.19182	7.80818	16.00000
17	8.42995	8.57005	17.00000
18	8.65797	9.34203	18.00000
19	8.87681	10.12319	19.00000
20	9.08735	10.91265	20.00000

0.9
n	t1	t2	sum
0	0.00000	0.00000	0.00000
1	1.00000	0.00000	1.00000
2	2.00000	0.00000	2.00000
3	2.92771	0.07229	3.00000
4	3.73034	0.26966	4.00000
5	4.40594	0.59406	5.00000
6	4.98791	1.01209	6.00000
7	5.50611	1.49389	7.00000
8	5.97433	2.02567	8.00000
9	6.40061	2.59939	9.00000
10	6.79306	3.20694	10.00000
11	7.15779	3.84221	11.00000
12	7.49865	4.50135	12.00000
13	7.81889	5.18111	13.00000
14	8.12140	5.87860	14.00000
15	8.40829	6.59171	15.00000
16	8.68126	7.31874	16.00000
17	8.94188	8.05812	17.00000
18	9.19139	8.80861	18.00000
19	9.43083	9.56917	19.00000
20	9.66112	10.33888	20.00000

1.0
n	t1	t2	sum
0	0.00000	0.00000	0.00000
1	1.00000	0.00000	1.00000
2	2.00000	0.00000	2.00000
3	2.94118	0.05882	3.00000
4	3.77778	0.22222	4.00000
5	4.50000	0.50000	5.00000
6	5.12821	0.87179	6.00000
7	5.68750	1.31250	7.00000
8	6.19355	1.80645	8.00000
9	6.65553	2.34447	9.00000
10	7.08108	2.91892	10.00000
11	7.47646	3.52354	11.00000
12	7.84614	4.15386	12.00000
13	8.19355	4.80645	13.00000
14	8.52163	5.47837	14.00000
15	8.83276	6.16724	15.00000
16	9.12880	6.87120	16.00000
17	9.41138	7.58862	17.00000
18	9.68187	8.31813	18.00000
19	9.94141	9.05859	19.00000
20	10.19101	9.80899	20.00000

1.1
n	t1	t2	sum
0	0.00000	0.00000	0.00000
1	1.00000	0.00000	1.00000
2	2.00000	0.00000	2.00000
3	2.95122	0.04878	3.00000
4	3.81395	0.18605	4.00000
5	4.57447	0.42553	5.00000
6	5.24389	0.75611	6.00000
7	5.84186	1.15814	7.00000
8	6.38379	1.61621	8.00000
9	6.87964	2.12036	9.00000
10	7.33697	2.66303	10.00000
11	7.76203	3.23797	11.00000
12	8.15960	3.84040	12.00000
13	8.53337	4.46663	13.00000
14	8.88637	5.11363	14.00000
15	9.22112	5.77888	15.00000
16	9.53966	6.46034	16.00000
17	9.84369	7.15631	17.00000
18	10.13469	7.86531	18.00000
19	10.41389	8.58611	19.00000
20	10.68237	9.31763	20.00000

1.2
n	t1	t2	sum
0	0.00000	0.00000	0.00000
1	1.00000	0.00000	1.00000
2	2.00000	0.00000	2.00000
3	2.95890	0.04110	3.00000
4	3.84211	0.15789	4.00000
5	4.63415	0.36585	5.00000
6	5.33976	0.66024	6.00000
7	5.97350	1.02650	7.00000
8	6.54928	1.45072	8.00000
9	7.07724	1.92276	9.00000
10	7.56498	2.43502	10.00000
11	8.01866	2.98134	11.00000
12	8.44323	3.55677	12.00000
13	8.84256	4.15744	13.00000
14	9.21980	4.78020	14.00000
15	9.57758	5.42242	15.00000
16	9.91806	6.08194	16.00000
17	10.24306	6.75694	17.00000
18	10.55412	7.44588	18.00000
19	10.85256	8.14744	19.00000
20	11.13951	8.86049	20.00000

1.3
n	t1	t2	sum
0	0.00000	0.00000	0.00000
1	1.00000	0.00000	1.00000
2	2.00000	0.00000	2.00000
3	2.96491	0.03509	3.00000
4	3.86441	0.13559	4.00000
5	4.68254	0.31746	5.00000
6	5.41970	0.58030	6.00000
7	6.08608	0.91392	7.00000
8	6.69358	1.30642	8.00000
9	7.25192	1.74808	9.00000
10	7.76864	2.23136	10.00000
11	8.24985	2.75015	11.00000
12	8.70050	3.29950	12.00000
13	9.12460	3.87540	13.00000
14	9.52540	4.47460	14.00000
15	9.90562	5.09438	15.00000
16	10.26751	5.73249	16.00000
17	10.61299	6.38701	17.00000
18	10.94367	7.05633	18.00000
19	11.26094	7.73906	19.00000
20	11.56600	8.43400	20.00000
